Record_ID,Timestamp,Shift,Machine_Type,Machine_ID,Machine_Age_Years,Operator_ID,Operator_Age,Operator_Experience_Years,Site_ID,Site_Location,GPS_Latitude,GPS_Longitude,Task_Type,Task_Start_Time,Task_End_Time,Task_Duration_min,Weather_Condition,Temperature_C,Visibility,Terrain_Type,Engine_Hours,Fuel_Used_L,Fuel_Efficiency_L_per_hr,Load_Cycles,Payload_Weight_kg,Distance_Covered_m,Idling_Time_min,Vibration_Level,Engine_Temperature_C,Hydraulic_Pressure_psi,Harsh_Braking_Events,Overspeed_Events,Seatbelt_Status,Fatigue_Alert,Maintenance_Alert,Downtime_min,Productivity_Score,Safety_Alert_Triggered
1,2025-01-01 07:47:00,Morning,Excavator,EXC003,6.9,OP1012,52,20.4,SITE04,"Bengaluru, KA",14.71079,75.95057,Loading,2025-01-01 07:47:00,2025-01-01 08:30:42,43.7,Clear,25.1,Good,Muddy,2979.4,8.03,11.03,11,2321.3,191.1,1,2.08,92,2429.2,0,0,Unfastened,No,No,0,97.7,Yes
2,2025-01-01 12:01:00,Morning,Bulldozer,BDZ001,0.8,OP1022,28,8.1,SITE01,"Chennai, TN",16.0297,78.11696,Loading,2025-01-01 12:01:00,2025-01-01 12:46:06,45.1,Fog,15.4,Poor,Muddy,2062.5,3.17,4.22,13,1004.7,278.1,61,2.78,85.7,2646,0,1,Fastened,No,No,0,70.1,Yes
3,2025-01-01 14:13:00,Afternoon,Motor Grader,MGR002,9.9,OP1030,48,15.2,SITE05,"Hyderabad, TS",8.36144,77.68456,Leveling,2025-01-01 14:13:00,2025-01-01 15:09:48,56.8,Rain,21.9,Moderate,Flat,4136.1,4.06,4.29,9,1168.2,341.2,38,2.48,97.5,2825,0,0,Fastened,No,No,0,91.8,No
4,2025-01-01 14:26:00,Afternoon,Bulldozer,BDZ003,14.8,OP1035,40,10.6,SITE07,"Nagpur, MH",18.23496,75.04466,Material Transport,2025-01-01 14:26:00,2025-01-01 14:33:42,7.7,Clear,25.7,Good,Flat,4297,6.96,54.23,8,1468.6,288.5,104,2.76,104.1,2516.9,0,2,Fastened,No,Yes,7,52,No
5,2025-01-01 14:38:00,Afternoon,Excavator,EXC004,1,OP1019,45,18.3,SITE04,"Bengaluru, KA",14.70656,75.95479,Digging,2025-01-01 14:38:00,2025-01-01 15:11:00,33,Extreme Heat,44.4,Good,Muddy,2353.5,2.25,4.09,4,906.8,222.8,23,1.43,96.8,2907.7,0,0,Fastened,No,No,0,78.3,Yes
6,2025-01-01 19:22:00,Afternoon,Wheel Loader,WLD004,9.4,OP1030,48,15.2,SITE01,"Chennai, TN",16.03043,78.12464,Material Transport,2025-01-01 19:22:00,2025-01-01 20:29:48,67.8,Fog,19,Poor,Rocky,4673.3,4.17,3.69,8,2111.5,237.5,13,2.74,99.4,2294.8,0,1,Fastened,No,No,0,88.1,Yes
7,2025-01-01 22:22:00,Night,Wheel Loader,WLD001,2.2,OP1040,25,14.9,SITE05,"Hyderabad, TS",8.37665,77.67847,Material Transport,2025-01-01 22:22:00,2025-01-01 23:18:54,56.9,Extreme Heat,42.8,Good,Muddy,1667.4,4.89,5.16,6,1384.3,42.8,39,2.02,105.6,2563,0,0,Fastened,Yes,No,0,87.7,No
8,2025-01-01 23:29:00,Night,Bulldozer,BDZ002,14.9,OP1002,38,9.9,SITE08,"Vizag, AP",8.70419,75.66698,Material Transport,2025-01-01 23:29:00,2025-01-02 00:16:30,47.5,Rain,23.1,Moderate,Uneven,4643.4,5.81,7.34,7,1145.7,369,0,2.6,80.1,2721.8,0,0,Unfastened,No,No,1,92.6,Yes
9,2025-01-02 00:24:00,Night,Bulldozer,BDZ001,14.2,OP1024,21,19.7,SITE06,"Pune, MH",10.5765,77.30847,Trenching,2025-01-02 00:24:00,2025-01-02 01:03:06,39.1,Cloudy,26.4,Good,Rocky,4340.1,3.87,5.94,13,934,195.6,50,4.69,91.6,2505.1,1,0,Fastened,Yes,No,3,73.2,Yes
10,2025-01-02 01:14:00,Night,Motor Grader,MGR001,14.9,OP1039,30,5.4,SITE03,"Vellore, TN",15.62589,79.19179,Trenching,2025-01-02 01:14:00,2025-01-02 02:05:12,51.2,Clear,27,Good,Flat,3499.1,2.23,2.61,8,1526.7,323.9,25,3.46,101.5,2215.1,1,0,Fastened,No,Yes,1,96.3,No
11,2025-01-02 01:31:00,Night,Wheel Loader,WLD002,7.4,OP1018,47,1.9,SITE01,"Chennai, TN",16.01298,78.12643,Loading,2025-01-02 01:31:00,2025-01-02 02:28:42,57.7,Clear,34.4,Good,Flat,4360.4,1.88,1.95,12,1902.2,318.3,38,2.54,96,2563.9,2,0,Fastened,No,No,0,95.4,No
12,2025-01-02 02:18:00,Night,Excavator,EXC001,12.6,OP1037,22,3.3,SITE04,"Bengaluru, KA",14.70299,75.95071,Leveling,2025-01-02 02:18:00,2025-01-02 03:02:30,44.5,Cloudy,24.9,Good,Uneven,2878.3,6.73,9.07,9,2213.7,229.7,3,3.63,83.7,2910.2,0,2,Fastened,Yes,No,0,94.3,Yes
13,2025-01-02 13:27:00,Morning,Wheel Loader,WLD002,4.2,OP1029,39,3.8,SITE07,"Nagpur, MH",18.23365,75.03308,Loading,2025-01-02 13:27:00,2025-01-02 14:15:18,48.3,Clear,32.2,Good,Flat,2509.1,6.76,8.4,5,1492.8,318.9,27,4.73,78.4,2472.5,1,0,Fastened,No,No,1,91.7,No
14,2025-01-02 16:16:00,Afternoon,Bulldozer,BDZ001,3.3,OP1027,51,10.5,SITE06,"Pune, MH",10.58074,77.31141,Leveling,2025-01-02 16:16:00,2025-01-02 17:04:18,48.3,Cloudy,27.2,Good,Flat,2636.7,3.69,4.58,10,2120.6,486,5,2.49,93,2333.9,1,1,Fastened,No,No,1,100,No
15,2025-01-02 16:40:00,Afternoon,Wheel Loader,WLD004,5.2,OP1037,22,3.3,SITE06,"Pune, MH",10.579,77.3032,Loading,2025-01-02 16:40:00,2025-01-02 17:13:06,33.1,Cloudy,23.6,Good,Sloped,4579.9,5.69,10.31,12,1756.9,491.7,12,0.14,92.4,2544.6,0,0,Fastened,No,No,1,100,No
16,2025-01-02 23:01:00,Night,Excavator,EXC004,9.6,OP1009,50,3.3,SITE02,"Coimbatore, TN",14.77309,81.94293,Grading,2025-01-02 23:01:00,2025-01-03 00:05:12,64.2,Cloudy,25.2,Good,Uneven,2820.5,2.84,2.65,8,2394.7,210.7,15,2.64,75.5,2592.7,2,1,Fastened,No,No,0,100,No
17,2025-01-03 05:16:00,Night,Backhoe Loader,BHL003,8.1,OP1016,32,5.4,SITE04,"Bengaluru, KA",14.7009,75.95515,Loading,2025-01-03 05:16:00,2025-01-03 05:46:00,30,Rain,24.6,Moderate,Uneven,2328.7,4.08,8.16,12,1592.8,284.1,8,2.84,85.8,2510.6,3,0,Unfastened,No,No,0,95.4,Yes
18,2025-01-03 06:08:00,Morning,Excavator,EXC005,7.9,OP1035,40,10.6,SITE03,"Vellore, TN",15.6228,79.20612,Grading,2025-01-03 06:08:00,2025-01-03 06:42:48,34.8,Clear,32.7,Good,Flat,2285.1,1.08,1.86,6,1802,283.5,34,4.93,89.4,2245.9,1,0,Fastened,No,No,3,87.8,No
19,2025-01-03 13:21:00,Morning,Excavator,EXC005,12.1,OP1022,28,8.1,SITE06,"Pune, MH",10.58057,77.30921,Loading,2025-01-03 13:21:00,2025-01-03 14:22:24,61.4,Clear,26.5,Good,Muddy,4774.9,9.95,9.72,6,2220.8,360.6,14,2.68,82.5,2283.3,0,1,Fastened,No,No,0,100,No
20,2025-01-03 13:25:00,Morning,Backhoe Loader,BHL001,8.5,OP1017,30,12.4,SITE05,"Hyderabad, TS",8.37037,77.6699,Loading,2025-01-03 13:25:00,2025-01-03 14:16:42,51.7,Clear,32.4,Good,Rocky,2765.9,3.68,4.27,9,2136.3,374.6,34,1.72,101.7,2997.6,0,0,Fastened,No,No,0,78.8,Yes
21,2025-01-03 13:59:00,Morning,Motor Grader,MGR001,2.1,OP1040,25,14.9,SITE06,"Pune, MH",10.57491,77.30824,Demolition,2025-01-03 13:59:00,2025-01-03 14:54:42,55.7,Rain,20.5,Moderate,Flat,4885.2,6.33,6.82,14,2711.5,480.4,2,0.88,73.7,2499.9,0,0,Fastened,No,No,0,100,No
22,2025-01-03 14:53:00,Afternoon,Backhoe Loader,BHL001,13.2,OP1004,53,15.5,SITE06,"Pune, MH",10.57454,77.31079,Digging,2025-01-03 14:53:00,2025-01-03 15:53:06,60.1,Clear,30.8,Good,Rocky,4981.9,3.66,3.65,8,1365.4,143.6,6,4.09,91.1,2363.8,0,0,Fastened,No,No,0,100,No
23,2025-01-03 15:09:00,Afternoon,Bulldozer,BDZ001,13.8,OP1020,26,14.1,SITE03,"Vellore, TN",15.60942,79.20474,Leveling,2025-01-03 15:09:00,2025-01-03 15:53:12,44.2,Cloudy,31.7,Good,Muddy,1591.8,4.21,5.71,15,2226.9,111.9,2,4.62,88.2,2363,0,2,Fastened,No,No,1,100,Yes
24,2025-01-03 18:01:00,Afternoon,Backhoe Loader,BHL001,4.6,OP1039,30,5.4,SITE04,"Bengaluru, KA",14.71349,75.95946,Material Transport,2025-01-03 18:01:00,2025-01-03 19:09:00,68,Fog,15.3,Poor,Flat,2407.5,8.32,7.34,10,875,564.1,18,2.3,101.6,2466.7,0,0,Fastened,No,No,1,100,No
25,2025-01-03 23:26:00,Night,Wheel Loader,WLD004,7.3,OP1040,25,14.9,SITE07,"Nagpur, MH",18.24984,75.03903,Trenching,2025-01-03 23:26:00,2025-01-04 00:51:30,85.5,Fog,20.8,Poor,Uneven,4098.8,7.37,5.17,10,2539.8,337.6,7,2.09,91.6,2476.3,0,1,Fastened,Yes,No,0,100,No
26,2025-01-04 01:11:00,Night,Backhoe Loader,BHL003,4,OP1026,51,4.7,SITE03,"Vellore, TN",15.6117,79.19842,Demolition,2025-01-04 01:11:00,2025-01-04 01:23:24,12.4,Rain,26.5,Moderate,Sloped,2087.7,5.14,24.87,9,1837.8,225.8,23,3.73,93.1,2536.4,1,0,Fastened,No,No,0,99.3,No
27,2025-01-04 09:35:00,Morning,Excavator,EXC004,11.5,OP1001,57,17.1,SITE01,"Chennai, TN",16.01245,78.1262,Grading,2025-01-04 09:35:00,2025-01-04 09:48:18,13.3,Cloudy,22.4,Good,Muddy,3251.6,2.8,12.63,16,1591.2,311.2,0,1.21,104.6,2371,0,0,Fastened,No,No,0,100,No
28,2025-01-04 15:10:00,Afternoon,Wheel Loader,WLD002,10.3,OP1026,51,4.7,SITE02,"Coimbatore, TN",14.78731,81.93501,Trenching,2025-01-04 15:10:00,2025-01-04 15:37:24,27.4,Clear,28.6,Good,Uneven,3988.9,3.51,7.69,14,2386.7,410.7,6,5.23,81.7,2444.7,1,0,Fastened,No,No,3,100,No
29,2025-01-04 15:42:00,Afternoon,Bulldozer,BDZ003,4,OP1040,25,14.9,SITE07,"Nagpur, MH",18.23111,75.04917,Material Transport,2025-01-04 15:42:00,2025-01-04 16:41:06,59.1,Clear,32.7,Good,Muddy,1869.5,3,3.05,11,1722.6,182.4,24,1.41,103.4,2104.1,0,0,Fastened,No,No,0,100,No
30,2025-01-04 19:41:00,Afternoon,Wheel Loader,WLD004,5.1,OP1035,40,10.6,SITE07,"Nagpur, MH",18.24749,75.04115,Demolition,2025-01-04 19:41:00,2025-01-04 20:43:30,62.5,Rain,20.2,Moderate,Flat,3544.5,5.58,5.36,9,2026.5,271.3,18,3.85,102.3,2380.3,0,0,Fastened,No,No,0,100,No
31,2025-01-04 21:33:00,Afternoon,Wheel Loader,WLD001,0.6,OP1032,51,21.3,SITE06,"Pune, MH",10.57521,77.32088,Trenching,2025-01-04 21:33:00,2025-01-04 22:21:48,48.8,Cloudy,23.4,Good,Flat,2082.4,2.42,2.98,13,2139.5,236.2,11,3.54,87.9,2612.5,1,0,Fastened,No,No,0,100,No
32,2025-01-04 21:41:00,Afternoon,Wheel Loader,WLD001,7.8,OP1026,51,4.7,SITE03,"Vellore, TN",15.61802,79.20267,Loading,2025-01-04 21:41:00,2025-01-04 22:02:36,21.6,Cloudy,29.2,Good,Uneven,3000.3,2.18,6.06,11,1740.2,158.2,2,2.88,104.5,2725.1,3,2,Unfastened,No,No,0,97.2,Yes
33,2025-01-05 01:09:00,Night,Excavator,EXC002,14,OP1026,51,4.7,SITE08,"Vizag, AP",8.70522,75.66268,Demolition,2025-01-05 01:09:00,2025-01-05 01:44:36,35.6,Fog,18.6,Poor,Muddy,3241.6,0.3,0.51,8,2098.1,483,25,2.89,82.9,2456.6,2,0,Fastened,No,Yes,17,83.5,No
34,2025-01-05 23:56:00,Night,Backhoe Loader,BHL001,1,OP1004,53,15.5,SITE01,"Chennai, TN",16.02918,78.12864,Digging,2025-01-05 23:56:00,2025-01-06 00:39:48,43.8,Cloudy,27.7,Good,Flat,4918.7,5.1,6.99,11,2010.4,531.7,28,4.1,90.9,2372.7,1,0,Fastened,No,No,2,97.6,No
35,2025-01-06 04:27:00,Night,Wheel Loader,WLD001,7.5,OP1030,48,15.2,SITE05,"Hyderabad, TS",8.3672,77.67425,Leveling,2025-01-06 04:27:00,2025-01-06 05:07:36,40.6,Clear,34,Good,Flat,3840.7,4.9,7.24,8,1619.3,415.8,36,2.46,96,2457,1,0,Fastened,No,No,0,91.6,No
36,2025-01-06 09:31:00,Morning,Wheel Loader,WLD004,13.6,OP1029,39,3.8,SITE07,"Nagpur, MH",18.24468,75.03475,Leveling,2025-01-06 09:31:00,2025-01-06 10:17:30,46.5,Extreme Heat,43.5,Good,Sloped,4434.8,5.79,7.47,9,1886.3,391,46,3.96,87.7,2651.4,0,0,Fastened,No,No,1,87,No
37,2025-01-06 10:29:00,Morning,Wheel Loader,WLD001,6.4,OP1014,36,18.2,SITE02,"Coimbatore, TN",14.77873,81.93899,Leveling,2025-01-06 10:29:00,2025-01-06 11:01:30,32.5,Clear,30.9,Good,Flat,4957.6,7.18,13.26,5,1919.7,384.6,4,3.24,90.4,2450,1,0,Fastened,No,No,0,100,No
38,2025-01-06 15:48:00,Afternoon,Bulldozer,BDZ002,6.8,OP1013,53,14.3,SITE08,"Vizag, AP",8.69797,75.65748,Trenching,2025-01-06 15:48:00,2025-01-06 17:19:48,91.8,Clear,30.9,Good,Rocky,3422,5.53,3.61,11,2451.2,418.1,3,1.01,83,2750,0,1,Fastened,No,No,1,100,No
39,2025-01-06 19:37:00,Afternoon,Excavator,EXC004,4.8,OP1003,27,19,SITE03,"Vellore, TN",15.61678,79.19903,Leveling,2025-01-06 19:37:00,2025-01-06 19:44:48,7.8,Extreme Heat,38.4,Good,Muddy,2022.8,5.35,41.15,12,1433.1,553.6,58,5.09,76.5,2203.2,0,2,Fastened,No,No,2,83.8,No
40,2025-01-06 19:38:00,Afternoon,Excavator,EXC002,3.6,OP1028,46,1.4,SITE07,"Nagpur, MH",18.23081,75.04256,Loading,2025-01-06 19:38:00,2025-01-06 20:18:48,40.8,Clear,29.1,Good,Flat,4356,3.48,5.12,3,2283.8,478.5,26,3.08,99.3,2094.8,0,0,Fastened,No,No,1,74.8,Yes
41,2025-01-07 01:24:00,Night,Wheel Loader,WLD004,5.1,OP1005,45,2.5,SITE08,"Vizag, AP",8.69618,75.65791,Demolition,2025-01-07 01:24:00,2025-01-07 01:50:30,26.5,Clear,30.7,Good,Uneven,3587.5,5,11.32,7,1535.2,659.3,57,3.97,85.9,2352.3,0,2,Unfastened,No,No,0,64.9,Yes
42,2025-01-07 03:11:00,Night,Excavator,EXC004,12.2,OP1007,24,16.9,SITE04,"Bengaluru, KA",14.70307,75.95859,Digging,2025-01-07 03:11:00,2025-01-07 04:05:42,54.7,Clear,24.2,Good,Flat,4275,3.01,3.3,5,2175,582.8,23,3.33,90.1,2014.3,0,1,Fastened,No,Yes,13,84.1,No
43,2025-01-07 03:19:00,Night,Motor Grader,MGR002,4.5,OP1011,37,8.5,SITE01,"Chennai, TN",16.0225,78.12232,Loading,2025-01-07 03:19:00,2025-01-07 03:24:00,5,Clear,36,Good,Muddy,3348.6,4.83,48.3,7,1654.5,415.5,44,2.87,100.2,2355.5,1,0,Fastened,No,No,0,86.4,No
44,2025-01-07 03:49:00,Night,Backhoe Loader,BHL001,12.4,OP1013,53,14.3,SITE01,"Chennai, TN",16.03069,78.13116,Grading,2025-01-07 03:49:00,2025-01-07 04:45:06,56.1,Clear,35.6,Good,Muddy,2461.1,4.15,4.44,11,1005.8,244.7,7,3.48,96.1,2491.4,0,0,Fastened,No,No,4,100,No
45,2025-01-07 04:45:00,Night,Wheel Loader,WLD004,4,OP1012,52,20.4,SITE01,"Chennai, TN",16.02117,78.13263,Material Transport,2025-01-07 04:45:00,2025-01-07 05:28:18,43.3,Rain,24.8,Moderate,Flat,2873.8,3.55,4.92,10,2173.2,317.1,34,4.12,94.6,2714.4,0,0,Unfastened,No,No,1,79.2,Yes
46,2025-01-07 06:20:00,Morning,Wheel Loader,WLD002,5.4,OP1025,52,17.2,SITE03,"Vellore, TN",15.61526,79.203,Grading,2025-01-07 06:20:00,2025-01-07 07:00:24,40.4,Dust Storm,36.5,Poor,Uneven,4167.1,3.91,5.81,7,1999.6,304.2,12,3.72,90,2214.9,1,1,Unfastened,No,No,0,100,No
47,2025-01-07 07:39:00,Morning,Motor Grader,MGR002,13,OP1021,53,16.8,SITE07,"Nagpur, MH",18.2351,75.05117,Grading,2025-01-07 07:39:00,2025-01-07 07:44:00,5,Cloudy,24.9,Good,Sloped,2805,4.69,46.9,8,1597.4,339.9,7,2.03,79.1,2776.4,0,0,Unfastened,No,No,0,91.1,Yes
48,2025-01-07 13:33:00,Morning,Excavator,EXC001,12.2,OP1031,31,16.5,SITE04,"Bengaluru, KA",14.70676,75.95509,Digging,2025-01-07 13:33:00,2025-01-07 14:28:24,55.4,Clear,24.9,Good,Muddy,2354.8,5.66,6.13,12,2639.1,312.1,10,3.76,96.1,2176,0,0,Fastened,No,No,2,100,No
49,2025-01-07 13:53:00,Morning,Wheel Loader,WLD001,14.9,OP1038,26,10.7,SITE06,"Pune, MH",10.58377,77.30237,Loading,2025-01-07 13:53:00,2025-01-07 14:51:18,58.3,Fog,19.3,Poor,Muddy,4888.4,3.68,3.79,9,1496.8,224.6,16,2.75,83.6,1898.4,0,2,Fastened,No,Yes,0,87.8,Yes
50,2025-01-07 18:18:00,Afternoon,Excavator,EXC005,2.1,OP1021,53,16.8,SITE06,"Pune, MH",10.57797,77.31217,Leveling,2025-01-07 18:18:00,2025-01-07 18:55:42,37.7,Rain,22.5,Moderate,Flat,3872.6,0.64,1.02,11,2075.9,318,23,2.84,83.8,2581.1,1,0,Fastened,No,No,0,100,No
51,2025-01-07 18:56:00,Afternoon,Backhoe Loader,BHL003,9.7,OP1024,21,19.7,SITE08,"Vizag, AP",8.69026,75.65663,Trenching,2025-01-07 18:56:00,2025-01-07 19:40:48,44.8,Clear,30.5,Good,Rocky,3420.3,1.57,2.1,10,988.3,419.5,19,5.15,84.9,2182.2,0,0,Unfastened,No,Yes,31,62.7,Yes
52,2025-01-07 20:19:00,Afternoon,Excavator,EXC002,9.9,OP1037,22,3.3,SITE07,"Nagpur, MH",18.24722,75.04433,Trenching,2025-01-07 20:19:00,2025-01-07 21:16:48,57.8,Clear,26.4,Good,Flat,1929.2,3.8,3.94,7,1635.2,390.7,63,1.33,92,3087.7,2,0,Fastened,No,No,0,76.9,No
53,2025-01-07 20:51:00,Afternoon,Backhoe Loader,BHL002,14,OP1010,53,10.2,SITE06,"Pune, MH",10.57315,77.31752,Demolition,2025-01-07 20:51:00,2025-01-07 20:56:00,5,Dust Storm,34,Poor,Flat,1876.4,5.74,57.4,7,1784.8,356.9,16,1.5,98.4,2454.9,0,1,Fastened,No,Yes,11,91.6,No
54,2025-01-08 02:51:00,Night,Bulldozer,BDZ003,7.4,OP1021,53,16.8,SITE04,"Bengaluru, KA",14.70158,75.96138,Leveling,2025-01-08 02:51:00,2025-01-08 03:06:42,15.7,Cloudy,24.8,Good,Muddy,4665.1,3.42,13.07,11,2382.1,201.7,4,2.34,91.5,2401.5,1,0,Fastened,Yes,No,1,100,No
55,2025-01-08 05:07:00,Night,Backhoe Loader,BHL003,4.1,OP1035,40,10.6,SITE01,"Chennai, TN",16.0213,78.1266,Loading,2025-01-08 05:07:00,2025-01-08 06:12:12,65.2,Clear,34.7,Good,Flat,2892.8,1.79,1.65,9,1954.1,207,2,2.37,91,2865.7,0,0,Fastened,No,No,0,100,No
56,2025-01-08 05:37:00,Night,Excavator,EXC005,12.2,OP1029,39,3.8,SITE07,"Nagpur, MH",18.2363,75.04385,Material Transport,2025-01-08 05:37:00,2025-01-08 06:29:30,52.5,Cloudy,27.5,Good,Rocky,4270.7,3.63,4.15,6,2144.7,263.7,1,4.84,90.4,2674.4,3,0,Fastened,No,No,2,100,No
57,2025-01-08 09:28:00,Morning,Wheel Loader,WLD003,5.6,OP1012,52,20.4,SITE02,"Coimbatore, TN",14.78917,81.9421,Digging,2025-01-08 09:28:00,2025-01-08 10:02:18,34.3,Clear,24.4,Good,Sloped,4572.8,2.45,4.29,13,2336.2,198.2,1,1.41,97.3,2062.3,1,0,Fastened,No,No,1,100,No
58,2025-01-08 12:31:00,Morning,Bulldozer,BDZ001,14.4,OP1039,30,5.4,SITE04,"Bengaluru, KA",14.71229,75.95336,Trenching,2025-01-08 12:31:00,2025-01-08 13:09:48,38.8,Dust Storm,31.9,Poor,Uneven,4609.1,4.67,7.22,6,2291.9,170.9,12,3.89,79.1,2767.9,0,1,Fastened,Yes,No,0,100,No
59,2025-01-08 12:52:00,Morning,Excavator,EXC004,9.6,OP1017,30,12.4,SITE03,"Vellore, TN",15.61875,79.20027,Demolition,2025-01-08 12:52:00,2025-01-08 13:25:06,33.1,Rain,24.8,Moderate,Flat,2835.5,4.58,8.3,2,1555.6,283.5,57,3.92,97,2473.8,0,0,Fastened,No,No,3,71.5,No
60,2025-01-08 18:42:00,Afternoon,Excavator,EXC003,2.7,OP1023,52,21.4,SITE01,"Chennai, TN",16.01334,78.11825,Material Transport,2025-01-08 18:42:00,2025-01-08 20:01:24,79.4,Clear,31.7,Good,Muddy,2396.5,3.07,2.32,10,1256.9,217.2,0,4.11,99.2,2428,1,0,Fastened,No,No,1,100,No
61,2025-01-08 20:45:00,Afternoon,Excavator,EXC004,8.1,OP1021,53,16.8,SITE03,"Vellore, TN",15.62651,79.19777,Loading,2025-01-08 20:45:00,2025-01-08 22:26:18,101.3,Cloudy,29.8,Good,Rocky,2304.2,7.28,4.31,9,1972.2,256.2,9,4.11,89.8,2392.5,0,0,Fastened,No,No,1,100,No
62,2025-01-08 22:10:00,Night,Excavator,EXC004,5.7,OP1031,31,16.5,SITE07,"Nagpur, MH",18.2404,75.04717,Loading,2025-01-08 22:10:00,2025-01-08 22:40:24,30.4,Clear,29,Good,Flat,4204,5.93,11.7,7,1925.6,400.5,15,3,83.4,2470.9,3,0,Fastened,Yes,No,0,100,No
63,2025-01-09 02:30:00,Night,Backhoe Loader,BHL003,10.1,OP1029,39,3.8,SITE02,"Coimbatore, TN",14.77997,81.93792,Leveling,2025-01-09 02:30:00,2025-01-09 03:34:42,64.7,Rain,21.7,Moderate,Flat,1533.5,4,3.71,6,1917,504.2,44,2.2,92.6,2250.3,0,0,Fastened,No,No,0,85.2,No
64,2025-01-09 04:53:00,Night,Motor Grader,MGR001,3,OP1004,53,15.5,SITE07,"Nagpur, MH",18.2339,75.04589,Loading,2025-01-09 04:53:00,2025-01-09 05:27:06,34.1,Clear,32.5,Good,Rocky,3983.5,5.39,9.48,13,1721.3,661.5,5,2.27,94,2444.3,0,0,Fastened,No,No,1,100,No
65,2025-01-09 13:53:00,Morning,Excavator,EXC005,1.1,OP1015,56,10,SITE05,"Hyderabad, TS",8.36371,77.67118,Demolition,2025-01-09 13:53:00,2025-01-09 14:26:24,33.4,Clear,32,Good,Rocky,2440.3,3.59,6.45,10,2677.4,257.5,14,5.93,85,2799.8,2,0,Fastened,No,No,4,100,No
66,2025-01-09 16:28:00,Afternoon,Excavator,EXC004,2.5,OP1018,47,1.9,SITE03,"Vellore, TN",15.62642,79.18744,Demolition,2025-01-09 16:28:00,2025-01-09 17:09:06,41.1,Cloudy,24.1,Good,Flat,2503.9,7.92,11.56,5,1475,403.9,12,2.25,93.6,2830.4,0,1,Fastened,No,No,0,100,No
67,2025-01-09 21:10:00,Afternoon,Wheel Loader,WLD003,12.2,OP1018,47,1.9,SITE01,"Chennai, TN",16.02486,78.11694,Digging,2025-01-09 21:10:00,2025-01-09 21:57:24,47.4,Cloudy,32,Good,Sloped,2960.9,2.95,3.73,3,746,330.2,5,4.37,89.9,3120,1,0,Fastened,No,No,0,100,No
68,2025-01-09 23:11:00,Night,Backhoe Loader,BHL002,5.4,OP1031,31,16.5,SITE05,"Hyderabad, TS",8.36713,77.67809,Demolition,2025-01-09 23:11:00,2025-01-09 23:46:48,35.8,Clear,34.1,Good,Uneven,4476,5.7,9.55,7,1408.3,132.8,5,1.6,100,2724.5,0,1,Fastened,No,No,6,100,No
69,2025-01-09 23:23:00,Night,Wheel Loader,WLD004,3.8,OP1009,50,3.3,SITE01,"Chennai, TN",16.02663,78.13046,Loading,2025-01-09 23:23:00,2025-01-10 00:07:36,44.6,Clear,35.4,Good,Sloped,3701.9,4.07,5.48,13,1506.3,323,12,2.62,97.5,2233.5,2,0,Unfastened,No,No,2,100,No
